Date,Open,High,Low,Close,Volume
28-Sep-12,40.42,40.63,40.16,40.48,21382009
27-Sep-12,40.40,40.99,40.21,40.68,20843887
26-Sep-12,40.15,40.62,39.70,40.24,23785658
25-Sep-12,41.55,41.55,40.53,40.55,21991228
24-Sep-12,40.61,41.47,40.59,41.23,20504116
21-Sep-12,41.53,41.70,40.77,40.88,28299063
20-Sep-12,40.96,41.28,40.55,41.25,20998581
19-Sep-12,41.33,41.76,41.04,41.34,22887181
18-Sep-12,41.05,41.33,40.66,41.26,25189352
17-Sep-12,41.00,41.44,40.95,41.19,19741058
14-Sep-12,41.96,42.09,41.23,41.57,43477367
13-Sep-12,39.84,41.58,39.59,41.40,47020628
12-Sep-12,39.88,40.25,39.78,39.92,29883726
11-Sep-12,38.80,39.63,38.73,39.60,22380345
10-Sep-12,39.23,39.78,38.73,38.76,20858745
7-Sep-12,39.04,39.53,39.00,39.30,28087896
6-Sep-12,37.58,38.87,37.50,38.69,41356607
5-Sep-12,37.08,37.29,36.94,37.11,13538409
4-Sep-12,36.98,37.24,36.78,37.01,13634888
31-Aug-12,37.14,37.40,36.86,37.14,16775701
30-Aug-12,37.06,37.13,36.71,36.90,13701589
29-Aug-12,37.32,37.49,37.06,37.30,13688324
28-Aug-12,37.10,37.49,36.90,37.13,18053276
27-Aug-12,37.31,37.44,36.90,37.23,17619128
24-Aug-12,36.94,37.44,36.67,37.17,20021563
23-Aug-12,37.81,37.89,37.20,37.23,16431048
22-Aug-12,37.88,38.18,37.56,37.83,16902860
21-Aug-12,37.63,38.86,37.56,38.04,36887510
20-Aug-12,36.92,37.50,36.80,37.37,17926581
17-Aug-12,37.10,37.18,36.81,36.98,4442275
16-Aug-12,37.13,37.35,36.80,37.10,2849800
15-Aug-12,37.09,37.41,36.95,37.07,2875764
14-Aug-12,37.41,37.64,36.98,37.10,2952159
13-Aug-12,36.81,37.08,36.65,36.99,2338438
10-Aug-12,36.73,37.00,36.40,36.97,3070268
9-Aug-12,36.77,37.26,36.59,36.92,3469227
8-Aug-12,36.82,37.48,36.75,37.16,2883993
7-Aug-12,36.61,37.86,36.60,37.01,5940674
6-Aug-12,36.30,36.79,36.11,36.30,3948992
3-Aug-12,35.75,36.29,35.50,36.09,4706032
2-Aug-12,35.62,35.84,34.76,35.17,36677078
1-Aug-12,36.19,36.40,35.82,36.00,22184446
31-Jul-12,36.11,36.33,35.91,36.00,19686716
30-Jul-12,36.50,36.52,35.94,36.14,30701699
27-Jul-12,36.01,37.20,35.51,36.89,63640527
26-Jul-12,35.78,35.94,35.34,35.81,28903218
25-Jul-12,34.98,35.45,34.79,35.17,32129081
24-Jul-12,34.58,34.89,34.22,34.73,29929501
23-Jul-12,33.24,34.50,33.10,34.44,41248260
20-Jul-12,34.05,34.13,33.90,33.90,36301590
19-Jul-12,35.02,35.17,34.31,34.46,34390711
18-Jul-12,34.75,35.23,34.65,34.96,28948255
17-Jul-12,35.44,35.48,34.27,34.99,43350927
16-Jul-12,35.76,35.85,34.73,35.09,52368297
13-Jul-12,35.06,36.20,34.86,36.07,83001210
12-Jul-12,34.33,34.57,33.94,34.04,39301433
11-Jul-12,34.21,34.80,34.12,34.59,35144270
10-Jul-12,34.22,34.45,33.81,34.25,33175467
9-Jul-12,33.81,34.12,33.54,33.96,30544925
6-Jul-12,33.92,34.12,33.73,33.90,32057669
5-Jul-12,35.61,35.66,34.22,34.38,58529307
3-Jul-12,35.96,36.14,35.54,35.88,26705915
2-Jul-12,36.27,36.36,35.59,36.28,34281571
29-Jun-12,36.70,36.80,35.25,35.73,56063666
28-Jun-12,35.32,35.93,34.85,35.88,69904866
27-Jun-12,35.64,36.82,35.50,36.78,34156770
26-Jun-12,36.06,36.12,35.58,35.71,35058728
25-Jun-12,35.26,35.47,34.64,35.32,33115794
22-Jun-12,36.02,36.49,35.96,35.99,44203816
21-Jun-12,36.49,37.03,35.43,35.51,95637185
20-Jun-12,36.03,36.94,35.83,36.45,61149759
19-Jun-12,34.99,35.63,34.73,35.38,32488936
18-Jun-12,34.71,35.30,34.50,34.62,31084454
15-Jun-12,34.89,35.07,34.41,35.03,40920716
14-Jun-12,34.41,34.89,34.07,34.65,44428016
13-Jun-12,33.69,35.07,33.63,34.30,72456524
12-Jun-12,32.88,33.78,32.51,33.77,43334359
11-Jun-12,34.37,34.44,32.78,32.82,46404807
8-Jun-12,32.77,33.68,32.55,33.68,34243468
7-Jun-12,33.77,33.83,32.80,32.81,53888894
6-Jun-12,32.71,33.31,32.00,33.07,47980479
5-Jun-12,30.89,32.13,30.86,31.99,46502750
4-Jun-12,32.16,32.17,30.83,31.00,60495394
1-Jun-12,32.41,32.65,31.77,31.93,50473313
31-May-12,32.96,33.47,32.91,33.15,42126257
30-May-12,33.30,33.44,32.95,32.96,34203559
29-May-12,33.98,34.00,33.36,33.63,35858078
25-May-12,34.00,34.13,33.29,33.50,28803487
24-May-12,34.44,34.48,33.62,33.97,37846025
23-May-12,33.62,34.42,33.21,34.26,52512858
22-May-12,33.32,34.58,32.99,34.01,84720953
21-May-12,33.52,33.71,32.26,32.51,99557353
18-May-12,33.99,33.99,32.97,33.49,82655364
17-May-12,35.04,35.10,33.88,33.93,95429256
16-May-12,36.79,36.98,35.46,35.46,68729813
15-May-12,36.19,37.27,36.12,36.24,89903651
14-May-12,36.10,36.47,35.76,35.79,96488404
11-May-12,37.14,37.99,36.62,36.96,217294160
10-May-12,41.23,41.40,40.54,40.74,35827257
9-May-12,40.72,41.02,40.12,40.64,38775560
8-May-12,41.50,41.84,40.95,41.38,28051620
7-May-12,41.43,42.40,41.37,41.78,25910034
4-May-12,42.33,42.68,41.71,41.75,31289431
3-May-12,43.38,43.39,42.67,43.01,19536754
2-May-12,43.46,43.53,42.84,43.20,22462824
1-May-12,43.00,44.24,42.96,43.79,26364545
30-Apr-12,43.33,43.37,42.54,42.98,23521663
27-Apr-12,43.94,43.99,43.23,43.34,24285744
26-Apr-12,43.22,43.89,43.06,43.80,28101552
25-Apr-12,43.65,43.89,42.98,43.16,31694004
24-Apr-12,42.98,43.31,42.81,43.28,21420339
23-Apr-12,41.92,42.96,41.80,42.85,25538094
20-Apr-12,43.51,43.58,42.71,42.72,26184284
19-Apr-12,43.44,43.69,42.77,43.22,25963308
18-Apr-12,43.62,43.91,43.27,43.29,20244147
17-Apr-12,43.69,44.00,43.16,43.90,26887901
16-Apr-12,43.38,43.80,42.84,43.33,40388941
13-Apr-12,44.95,44.95,43.06,43.21,58183898
12-Apr-12,44.12,44.99,44.00,44.84,33631097
11-Apr-12,43.59,44.21,43.57,44.01,32142163
10-Apr-12,43.88,44.01,42.66,42.96,38845936
9-Apr-12,43.19,44.28,43.07,43.89,29376366
5-Apr-12,44.13,44.73,43.81,44.34,28834531
4-Apr-12,44.68,44.86,43.96,44.41,41347710
3-Apr-12,45.74,45.98,44.97,45.42,30938661
2-Apr-12,45.75,46.35,45.46,46.13,27675928
30-Mar-12,46.08,46.13,45.50,45.98,25945990
29-Mar-12,45.92,46.02,42.63,45.67,32268866
28-Mar-12,45.76,46.31,45.36,46.27,29763066
27-Mar-12,45.92,46.49,45.83,45.89,33035556
26-Mar-12,45.48,46.17,45.40,46.17,33530630
23-Mar-12,44.45,45.25,44.44,45.16,30643963
22-Mar-12,44.72,45.10,44.41,44.65,27461074
21-Mar-12,45.53,45.67,44.86,45.12,27273648
20-Mar-12,44.53,45.60,44.37,45.38,34798090
19-Mar-12,44.44,45.35,44.21,45.00,41515244
16-Mar-12,44.87,44.92,44.22,44.57,48844406
15-Mar-12,43.64,44.92,42.93,44.70,57124817
14-Mar-12,43.62,44.00,43.07,43.58,68028623
13-Mar-12,41.02,43.73,40.82,43.39,77277594
12-Mar-12,40.86,40.98,40.20,40.54,30763746
9-Mar-12,40.75,41.44,40.50,41.03,33499779
8-Mar-12,40.47,40.75,40.22,40.44,22060726
7-Mar-12,39.46,40.06,39.38,39.95,22880868
6-Mar-12,39.45,39.87,39.12,39.32,33930434
5-Mar-12,40.70,40.71,40.00,40.40,30806826
2-Mar-12,40.43,40.88,40.23,40.63,34897825
1-Mar-12,39.51,40.45,39.47,40.37,44384544
29-Feb-12,39.33,39.94,39.02,39.24,41187933
28-Feb-12,39.13,39.55,38.85,39.21,37905499
27-Feb-12,38.07,39.23,37.79,39.06,34036867
